start_date,end_date,window,total_codes,entered_codes,total_pos,total_tested_cum,avg_r,max_r,total_downloads,pop,calls
2020-09-01,2020-09-21,21,4149,2350,30758,1000567,1.1,1.16,18.388,83.02,
2020-09-22,2020-10-01,10,2742,1973,19979,1340606,1.2,1.25,18.795,83.02,
2020-10-02,2020-10-06,5,2727,1649,11588,1588555,1.31,1.36,19.703,83.02,
2020-10-07,2020-10-15,9,7266,4293,44980,1856301,1.44,1.48,19.471,83.02,
2020-10-16,2020-10-21,6,8861,5188,45815,2092722,1.46,1.48,20.3,83.02,3266
2020-10-22,2020-11-04,13,46414,26218,210689,3000151,1.40,1.47,21.9,83.02,4213
2020-11-05,2020-11-11,7,28198,15010,129483,3525662,1.19,1.28,22.4,83.02,3577
2020-11-12,2020-11-18,7,26878,13950,129390,3959993,1.09,1.13,22.8,83.02,2885
2020-11-19,2020-11-25,7,25010,12683,128395,4415667,1.04,1.07,23.2,83.02,2484
2020-11-26,2020-12-02,7,22798,12026,122074,4820370,1.04,1.06,23.5,83.02,2358
2020-12-03,2020-12-09,7,28196,14825,136405,5273158,1.06,1.06,23.8,83.02,2392
2020-12-10,2020-12-16,7,32350,18473,136738,5775194,1.05,1.05,24.2,83.02,2816
