Date;ios_ios_all;ios_ios_asymmetric;ios_ios_symmetric;android_android_all;android_android_asymmetric;android_android_symmetric;android_ios_all;android_ios_asymmetric;android_ios_symmetric;ios_android_all;ios_android_asymmetric;ios_android_symmetric
18-May;144482;75086;34698;3472;990;1241;14672;7179;7493;15466;7973;7493
19-May;157706;81418;38144;3660;1024;1318;15864;7626;8238;16863;8625;8238
20-May;173040;87940;42550;3630;1040;1295;16157;7845;8312;17127;8815;8312
21-May;137210;59094;39058;3243;787;1228;9728;4299;5429;9484;4055;5429
22-May;158747;69895;44426;3213;801;1206;12205;5709;6496;12630;6134;6496
23-May;157605;66889;45358;2924;736;1094;10228;4640;5588;10218;4630;5588
24-May;142138;58994;41572;2817;653;1082;9013;4109;4904;8326;3422;4904
25-May;163383;78663;42360;2780;724;1028;13090;6336;6754;13090;6336;6754
26-May;169844;81976;43934;2827;819;1004;13512;6509;7003;13356;6353;7003
27-May;171472;82862;44305;2813;767;1023;13747;6596;7151;13935;6784;7151
28-May;174591;84753;44919;2691;685;1003;13471;6581;6890;13567;6677;6890
29-May;181012;83200;48906;2614;676;969;12208;5827;6381;12371;5990;6381
30-May;228367;93947;67210;3270;666;1302;14273;6304;7969;14402;6433;7969
31-May;162897;68063;47417;2389;531;929;9214;4073;5141;9245;4104;5141
01-Jun;152754;61614;45570;2334;526;904;8758;3690;5068;8501;3433;5068
02-Jun;172557;81733;45412;2279;649;815;12135;5887;6248;12079;5831;6248
03-Jun;176118;84558;45780;2166;608;779;12220;5909;6311;12168;5857;6311
04-Jun;185198;89018;48090;2206;644;781;12132;5908;6224;12270;6046;6224
